place_id,place_name,category,program_count,latitude,longitude
C001,햇살도서관,도서관,48,37.5665,126.978
C002,나무도서관,도서관,35,37.572,126.99
C003,구름도서관,도서관,62,37.584,127.012
C004,샘물도서관,도서관,29,37.551,126.965
C005,새봄도서관,도서관,54,37.538,126.992
C006,한강도서관,도서관,41,37.52,126.94
C007,별빛도서관,도서관,67,37.603,127.025
C008,마루도서관,도서관,33,37.612,126.958
C009,모양박물관,박물관,23,37.579,126.948
C010,시간박물관,박물관,38,37.59,126.982
C011,기록박물관,박물관,57,37.561,127.028
C012,생활박물관,박물관,31,37.543,127.055
C013,도시박물관,박물관,72,37.528,127.018
C014,소리박물관,박물관,26,37.511,126.974
C015,빛박물관,박물관,45,37.596,127.067
C016,종이박물관,박물관,34,37.617,127.002
C017,푸른문화센터,문화센터,52,37.57,127.044
C018,열린문화센터,문화센터,64,37.548,126.925
C019,다온문화센터,문화센터,28,37.532,126.955
C020,누리문화센터,문화센터,49,37.515,127.041
C021,이음문화센터,문화센터,70,37.588,126.93
C022,마을문화센터,문화센터,37,37.607,127.048
C023,함께문화센터,문화센터,58,37.625,126.985
C024,오늘문화센터,문화센터,42,37.502,127.012
X001,누락좌표문화센터,문화센터,27,,127.01
X002,잘못된경도박물관,박물관,31,37.555,226.99
X003,문자수치도서관,도서관,unknown,37.563,126.96
C004,샘물도서관,도서관,29,37.551,126.965
X004,잘못된위도문화센터,문화센터,45,95.0,127.02
