place_id,place_name,category,program_count,latitude,longitude
C001,햇살도서관,도서관,48,37.5665,126.9780
C002,나무도서관,도서관,35,37.5720,126.9900
C003,구름도서관,도서관,62,37.5840,127.0120
C004,샘물도서관,도서관,29,37.5510,126.9650
C005,새봄도서관,도서관,54,37.5380,126.9920
C006,한강도서관,도서관,41,37.5200,126.9400
C007,별빛도서관,도서관,67,37.6030,127.0250
C008,마루도서관,도서관,33,37.6120,126.9580
C009,모양박물관,박물관,23,37.5790,126.9480
C010,시간박물관,박물관,38,37.5900,126.9820
C011,기록박물관,박물관,57,37.5610,127.0280
C012,생활박물관,박물관,31,37.5430,127.0550
C013,도시박물관,박물관,72,37.5280,127.0180
C014,소리박물관,박물관,26,37.5110,126.9740
C015,빛박물관,박물관,45,37.5960,127.0670
C016,종이박물관,박물관,34,37.6170,127.0020
C017,푸른문화센터,문화센터,52,37.5700,127.0440
C018,열린문화센터,문화센터,64,37.5480,126.9250
C019,다온문화센터,문화센터,28,37.5320,126.9550
C020,누리문화센터,문화센터,49,37.5150,127.0410
C021,이음문화센터,문화센터,70,37.5880,126.9300
C022,마을문화센터,문화센터,37,37.6070,127.0480
C023,함께문화센터,문화센터,58,37.6250,126.9850
C024,오늘문화센터,문화센터,42,37.5020,127.0120
