section,tester_or_field,result_or_record,time,first_hesitation,stuck_or_help,goal_and_feedback_response
observation,A,,,,,
observation,B,,,,,
observation,C,,,,,
decision,learning_question,,,,,
decision,selected_evidence,,,,,
decision,impact_and_priority,,,,,
decision,frequency,,,,,
decision,minimal_fix,,,,,
decision,expected_scope,,,,,
decision,retest_criterion,,,,,
decision,regression_scope,,,,,
test,T01,,,,,
test,T02,,,,,
test,T03,,,,,
test,T04,,,,,
test,T05,,,,,
test,T06,,,,,
test,T07,,,,,
test,T08,,,,,
